brand_name,category,homepage_url,event_url,confidence,priority
11번가,디지털,https://www.11st.co.kr,https://www.11st.co.kr/html/event/event_main.html,high,1차
마이리얼트립,디지털,https://www.myrealtrip.com,https://www.myrealtrip.com/promotions/benefit,high,1차
무신사,디지털,https://www.musinsa.com,https://www.musinsa.com/onboarding/event/quiz/latest?area=BENEFIT,high,1차
야놀자,디지털,https://www.yanolja.com,https://nol.yanolja.com/event,high,1차
여기어때,디지털,https://www.goodchoice.kr,https://www.yeogi.com/event#HOT,high,1차
컬리,디지털,https://www.kurly.com,https://event.kurly.com/lego/event/2023/0911/join/coupon#lc112b1,high,1차
쿠팡,디지털,https://www.coupang.com,https://www.coupang.com/np/promotions,high,1차
궁중비책,뷰티,https://www.goongbe.com,https://www.goongbe.com/board/%EC%9D%B4%EB%B2%A4%ED%8A%B8/8/?board_no=8&category_no=1,high,1차
넘버즈인,뷰티,https://numbuzin.com,https://numbuzin.com/board/event/read.html?no=15178&board_no=5,high,1차
다슈,뷰티,https://www.hairwax.co.kr,https://www.hairwax.co.kr/board/gallery/list.html?board_no=8,high,1차
닥터자르트,뷰티,https://www.drjart.co.kr,https://www.drjart.co.kr/offers,high,1차
닥터지,뷰티,https://www.dr-g.co.kr,https://www.dr-g.co.kr/event,high,1차
라네즈,뷰티,https://www.laneige.com,https://www.laneige.com/kr/ko/event/current-events/,high,1차
라보에이치,뷰티,https://www.laboh.co.kr,https://www.laboh.co.kr/board/gallery/list.html?board_no=8&category_no=1,high,1차
러쉬 코리아,뷰티,https://www.lush.co.kr,https://weare.lush.co.kr/campaign_donation.html,medium,1차
록시땅,뷰티,https://kr.loccitane.com,https://kr.loccitane.com/specialoffers,high,1차
마녀공장,뷰티,https://www.manyo.co.kr,https://www.manyo.co.kr/board/list.php?bdId=event&period=current,high,1차
맥(MAC),뷰티,https://www.maccosmetics.co.kr,https://www.maccosmetics.co.kr/mac-lover,high,1차
메디큐브,뷰티,https://themedicube.co.kr,https://themedicube.co.kr/event/list.html,high,1차
바닐라코,뷰티,https://www.banila.com,https://www.banila.com/board/gallery/list.html?board_no=8,high,1차
바비 브라운,뷰티,https://www.bobbibrown.co.kr,https://www.bobbibrown.co.kr/today-offers,high,1차
바이오더마,뷰티,https://www.bioderma.co.kr,https://www.naosmall.kr/board/event/8/?board_no=8&category_no=1,high,1차
바이오힐보,뷰티,https://www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/main/getEventList.do?t_page=%ED%99%88&t_click=GNB&t_gnb_type=%EC%9D%B4%EB%B2%A4%ED%8A%B8&t_swiping_type=N,high,1차
브링그린,뷰티,https://www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/main/getEventList.do?t_page=%ED%99%88&t_click=GNB&t_gnb_type=%EC%9D%B4%EB%B2%A4%ED%8A%B8&t_swiping_type=N,high,1차
브이티,뷰티,https://www.vt-cosmetics.com,https://www.vt-cosmetics.com/product/event.html?cate_no=194,high,1차
식물나라,뷰티,https://www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/main/getEventList.do?t_page=%ED%99%88&t_click=GNB&t_gnb_type=%EC%9D%B4%EB%B2%A4%ED%8A%B8&t_swiping_type=N,high,1차
아누아,뷰티,https://anua.kr,https://anua.kr/board/membership.html,high,1차
에스네이처,뷰티,https://snature.kr,https://snature.kr/product/list.html?cate_no=86,high,1차
에스티 로더,뷰티,https://www.esteelauder.co.kr,https://www.esteelauder.co.kr/promotions,high,1차
에이프릴스킨,뷰티,https://aprilskin.com,https://aprilskin.com/event/26seol.html,high,1차
올리브영,뷰티,https://www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/main/getEventList.do,high,1차
웨이크메이크,뷰티,https://www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/main/getEventList.do?t_page=%ED%99%88&t_click=GNB&t_gnb_type=%EC%9D%B4%EB%B2%A4%ED%8A%B8&t_swiping_type=N,high,1차
웰라쥬,뷰티,https://www.wellage.co.kr,https://www.wellage.co.kr/article/event/8/17706/categoryno/1/,high,1차
이니스프리,뷰티,https://www.innisfree.com,https://www.innisfree.com/kr/ko/ca/event/103242,high,1차
일리윤,뷰티,https://www.illiyoon.com,https://www.illiyoon.com/board/%EC%9D%B4%EB%B2%A4%ED%8A%B8/2/,high,1차
입생로랑 뷰티,뷰티,https://www.yslbeautykr.com,https://www.yslbeautykr.com/ko_KR/NGL_monthlybenefit.html,high,1차
잇츠스킨,뷰티,https://www.itsskin.com,https://www.itsskin.com/board/list.php?bdId=event&period=current,high,1차
